current_org_id,current_organization_name,legacy_org_id,legacy_organization_name,legacy_cohort,match_status,match_score,runner_up_score,sequence_score,token_jaccard,token_containment,merge_decision,review_required
ORG-A05-04,الجمعية الخيرية لتحفيظ القران الكريم بنجران رتل,LEG-ORG-B3-006,الجمعية الخيرية لتحفيظ القران الكريم بنجران رتل,3,EXACT_NORMALIZED,1.0,0.8333,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A05-05,جمعية البر ايتاء ببيشة,LEG-ORG-B3-003,جمعية البر ايتاء ببيشة,3,EXACT_NORMALIZED,1.0,0.6857,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A05-06,جمعية البر الخيرية بمحافظة بني حسن,LEG-ORG-B3-005,جمعية البر الخيرية بمحافظة بني حسن,3,EXACT_NORMALIZED,1.0,0.7547,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A05-07,جمعية التنمية الأهلية بوادي جازان,LEG-ORG-B3-004,جمعية التنمية الأهلية بوادي جازان,3,EXACT_NORMALIZED,1.0,0.8,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A06-01,جمعية الخدمات الاجتماعية بنمران,LEG-ORG-B4-002,جمعية الخدمات الاجتماعية بنمران,4,EXACT_NORMALIZED,1.0,0.8,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A06-02,جمعية التنمية الأهلية بأحد المسارحة,LEG-ORG-B4-004,جمعية التنمية الأهلية بأحد المسارحة,4,EXACT_NORMALIZED,1.0,0.8966,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A06-03,ديوان وزارة الداخلية,LEG-ORG-B4-001,ديوان وزارة الداخلية,4,EXACT_NORMALIZED,1.0,0.6452,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A06-04,جمعيه جمان التعليمية,LEG-ORG-B4-006,جمعية جمان التعليمية,4,EXACT_NORMALIZED,1.0,0.8333,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A06-05,جمعية ترميم للتنمية,LEG-ORG-B4-005,جمعية ترميم للتنمية,4,EXACT_NORMALIZED,1.0,0.7059,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A06-06,جمعية وسم للتصلب المتعدد,LEG-ORG-B4-003,جمعية وسم للتصلب المتعدد,4,EXACT_NORMALIZED,1.0,0.6,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A06-07,جمعية أصول للمحتوى الدعوي,LEG-ORG-B4-007,جمعية أصول للمحتوى الدعوي,4,EXACT_NORMALIZED,1.0,0.6316,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A07-01,جمعية سقيا الخيرية,LEG-ORG-B4-010,جمعية سقيا الخيرية,4,EXACT_NORMALIZED,1.0,0.8125,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A07-02,هيئة تطوير محمية الإمام عبدالعزيز بن محمد الملكية,LEG-ORG-B4-014,هيئة تطوير محمية الإمام عبدالعزيز بن محمد الملكية,4,EXACT_NORMALIZED,1.0,0.5429,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A07-03,جمعية التنمية الأهلية ببداء,LEG-ORG-B4-011,جمعية التنمية الأهلية ببداء,4,EXACT_NORMALIZED,1.0,0.898,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A07-04,جمعية البر الخيرية بمركز حقال,LEG-ORG-B4-012,جمعية البر الخيرية بمركز حقال,4,EXACT_NORMALIZED,1.0,0.7755,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A07-05,جمعية حرف التعليمية,LEG-ORG-B4-013,جمعية حرف التعليمية,4,EXACT_NORMALIZED,1.0,0.8571,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A07-06,هيئة تطويرمنطقة المدينة المنورة,LEG-ORG-B4-008,هيئة تطويرمنطقة المدينة المنورة,4,EXACT_NORMALIZED,1.0,0.5429,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A07-07,جمعية مجلس حي اجيال الاجتماعي,LEG-ORG-B4-009,جمعية مجلس حي اجيال الاجتماعي,4,EXACT_NORMALIZED,1.0,0.6538,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A08-01,جمعية البر الخيرية بالقنفذة,LEG-ORG-B4-018,جمعية البر الخيرية بالقنفذة,4,EXACT_NORMALIZED,1.0,0.7755,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A08-02,صندوق الشهداء والمصابين والأسرى والمفقودين,LEG-ORG-B4-035,صندوق الشهداء,4,PROBABLE_NAME_VARIANT,0.9064,0.4375,0.48,0.4,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,True
ORG-A08-03,جمعية مسارات الشبابية,LEG-ORG-B4-020,جمعية مسارات الشبابية,4,EXACT_NORMALIZED,1.0,0.8333,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A08-04,جمعية كفاءات الأهلية لبناء قدرات الشباب,LEG-ORG-B4-030,جمعية كفاءات الأهلية لبناء قدرات الشباب,4,EXACT_NORMALIZED,1.0,0.6441,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A08-05,جمعية مُعان الاهلية بمكة,LEG-ORG-B4-032,جمعية مُعان الاهلية بمكة,4,EXACT_NORMALIZED,1.0,0.8,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A08-06,أمانة المنطقة الشرقية,LEG-ORG-B4-021,أمانة المنطقة الشرقية,4,EXACT_NORMALIZED,1.0,0.5652,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A08-07,جمعية بلسم الاهلية لمساندة مرضى السرطان,LEG-ORG-B4-031,جمعية بلسم الاهلية لمساندة مرضى السرطان,4,EXACT_NORMALIZED,1.0,0.5902,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A08-08,وزارة النقل والخدمات اللوجستية,LEG-ORG-B4-028,وزارة النقل والخدمات اللوجستية,4,EXACT_NORMALIZED,1.0,0.56,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A08-09,جمعية ميراث العلمية,LEG-ORG-B4-017,جمعية ميراث العلمية,4,EXACT_NORMALIZED,1.0,0.8,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A08-10,التأمينات الاجتماعية,LEG-ORG-B4-015,التأمينات الاجتماعية,4,EXACT_NORMALIZED,1.0,0.6522,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A08-11,جمعية صدارة,LEG-ORG-B4-029,جمعية صدارة,4,EXACT_NORMALIZED,1.0,0.6667,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A08-12,إمارة الجوف,LEG-ORG-B4-034,إمارة الجوف,4,EXACT_NORMALIZED,1.0,0.5217,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
ORG-A08-13,جمعية مسكن للإسكان التنموي,LEG-ORG-B4-016,جمعية مسكن للإسكان التنموي,4,EXACT_NORMALIZED,1.0,0.8444,1.0,1.0,1.0,CROSSWALK_ONLY_NO_RECORD_MERGE,False
