legacy_duplicate_group_id,use_count,cohorts,organizations_count,organizations,models_count,models,canonical_url,resource_id,decision
LEG-DUP-0055,2,2,1,جمعية كبار السن,2,نموذج تحديد الاحتياج التطوعي | نموذج تصميم الفرصة التطوعية,https://drive.google.com/file/d/1a9wGuVIpwDtBJEySjUFzUqHqz0Zi9T7w,1a9wGuVIpwDtBJEySjUFzUqHqz0Zi9T7w,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0056,2,2,1,جمعية أجا النسائية الاهلية,2,نموذج تحديد الاحتياج التطوعي | نموذج تصميم الفرصة التطوعية,https://drive.google.com/file/d/1aAcSiT9N3N6iYc7mQYF97jwek99hi7QT,1aAcSiT9N3N6iYc7mQYF97jwek99hi7QT,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0057,2,2,1,الجمعية السعودية الخيرية للوقاية من السموم,2,نموذج تحديد الاحتياج التطوعي | نموذج تصميم الفرصة التطوعية,https://drive.google.com/file/d/1fzhvQ5HvFYORGIyJD5PYd3af4_03GffS,1fzhvQ5HvFYORGIyJD5PYd3af4_03GffS,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0058,2,2,1,جمعية النخب العلمية,2,نموذج تحديد الاحتياج التطوعي | نموذج تصميم الفرصة التطوعية,https://drive.google.com/file/d/1j6msI8aqJ_60ydrnXI8a-9FXlQ2jcnWP,1j6msI8aqJ_60ydrnXI8a-9FXlQ2jcnWP,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0059,2,2,1,أوقاف إثراء المعرفة,2,نموذج تحديد الاحتياج التطوعي | نموذج تصميم الفرصة التطوعية,https://drive.google.com/file/d/1mz5uDXZhVRpQKkaSfSU66G3JEAh3nJgE,1mz5uDXZhVRpQKkaSfSU66G3JEAh3nJgE,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0060,13,2,1,جمعية طب القدم والكاحل,13,المعيار الوظيفي لمدراء التطوع | الميثاق الأخلاقي للمتطوع | الميثاق الأخلاقي للمنظمة ولمدير التطوع | نموذج الخطة التشغيلية | نموذج الشكوى والتظلم | نموذج المقابلة الشخصية | نموذج تحديد الاحتياج التدريبي للمتطوعين | نموذج تحديد الاحتياج التطوعي | نموذج تخطيط اللقاء التعريفي بالمتطوعين الجدد | نموذج تقييم أداء المتطوع | نموذج تقييم المتطوع لتجربته التطوعية | نموذج صياغة السياسة العامة للتطوع في الجهة | نموذج طلب تعويض عن مصروفات,https://drive.google.com/file/d/1oeagwaFp61WAPbNt-EcxUO9Dy91WjRlq,1oeagwaFp61WAPbNt-EcxUO9Dy91WjRlq,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0061,2,2,1,جمعية المتقاعدين بمنطقة القصيم,2,نموذج تحديد الاحتياج التطوعي | نموذج تصميم الفرصة التطوعية,https://drive.google.com/file/d/1pRUeyMUYN8Cr6IaecPe9Q58OAWwvViaR,1pRUeyMUYN8Cr6IaecPe9Q58OAWwvViaR,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0062,2,2,1,جمعية أخلاقنا لتعزيز القيم,2,نموذج تحديد الاحتياج التطوعي | نموذج تصميم الفرصة التطوعية,https://drive.google.com/file/d/1q71-hBtpbMIXBWOThwVR7A8139P8klfJ,1q71-hBtpbMIXBWOThwVR7A8139P8klfJ,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0063,2,2,1,جمعية صناعة القدرات الشبابية,2,دليل السياسات والإجراءات | نموذج صياغة السياسة العامة للتطوع في الجهة,https://drive.google.com/file/d/1uUQCRIYXy29YccsKJyGWhB82uSveMtg0,1uUQCRIYXy29YccsKJyGWhB82uSveMtg0,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0064,2,2,1,جمعية اكتشاف وتطوير المواهب (رائد),2,نموذج تحديد الاحتياج التطوعي | نموذج تصميم الفرصة التطوعية,https://drive.google.com/file/d/1vLa7OPg92X3_gaORNVKnqQbC_-6EDh0g,1vLa7OPg92X3_gaORNVKnqQbC_-6EDh0g,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0065,7,2,1,جمعية ذو النون للرعاية الصحية المنزلية,7,TOWS Matrix نموذج (الاستدامة) | نموذج التحليل الشجري | نموذج تحديد القضايا والتحديات | نموذج تصنيف أصحاب المصلحة | نموذج تلبية توقعات أصحاب المصلحة | نموذج توقعات أصحاب المصلحة | نموذج مصفوفة أصحاب المصلحة,https://drive.google.com/file/d/1vYU9LRzKBzBoUaVXx2dex5V1F6FmFw8n,1vYU9LRzKBzBoUaVXx2dex5V1F6FmFw8n,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0066,2,2,1,لجنة تراحم القصيم,2,نموذج تحديد الاحتياج التطوعي | نموذج تصميم الفرصة التطوعية,https://drive.google.com/file/d/1wsZZaMTJZZzyz0ak-IzjAiBne0hG64J_,1wsZZaMTJZZzyz0ak-IzjAiBne0hG64J_,PRESERVE_AND_FLAG_NO_MERGE
LEG-DUP-0067,24,2,7,جمعية أخلاقنا لتعزيز القيم | جمعية النخب العلمية | جمعية دعم التعليم تعلم | جمعية ذو النون للرعاية الصحية المنزلية | جمعية عضيد للخدمات التطوعية | جمعية وطن طموح | لجنة تراحم القصيم,6,أداة تقييم الجاهزية | تقرير لقاء التعارف | تقرير ورش العمل مع مجلس الإدارة (أو من يقوم مقامهم) والإدارات الموازية | نموذج التقرير العام عن المنظمة | نموذج تقرير متابعة التشغيل وإغلاق التأسيس | نموذج خطة سد الفجوات,https://mail.google.com/mail/u/0,,PRESERVE_AND_FLAG_NO_MERGE
