proposed_canonical_org_id,proposed_canonical_name,cohort,member_candidate_ids,member_names,has_legacy,has_lovable,legacy_count,lovable_count,match_status,match_reason,confidence,requires_human_review,blocking_issue
LEG-ORG-B1-008,جمعية تواصل للتنمية الأهلية بأحياء الجامعيين والنزهة وهجر والفردوس,1,LEG-ORG-B1-008,جمعية تواصل للتنمية الأهلية بأحياء الجامعيين والنزهة وهجر والفردوس,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B1-009,جمعية المعمار,1,LEG-ORG-B1-009,جمعية المعمار,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B1-010,الجمعية التكاملية لذوي الإعاقة,1,LEG-ORG-B1-010,الجمعية التكاملية لذوي الإعاقة,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B1-011,الجمعية السعودية لاضطراب فرط الحركة (إشراق ),1,LEG-ORG-B1-011,الجمعية السعودية لاضطراب فرط الحركة (إشراق ),true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B1-012,جمعية دار السلام لإكرام الموتى,1,LEG-ORG-B1-012,جمعية دار السلام لإكرام الموتى,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B1-013,المؤسسة الخيرية لرعاية الأيتام - إخاء,1,LEG-ORG-B1-013,المؤسسة الخيرية لرعاية الأيتام - إخاء,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B1-014,جمعية المحترفون للبحث والإنقاذ,1,LEG-ORG-B1-014,جمعية المحترفون للبحث والإنقاذ,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B1-015,جمعية مكث النسائية للريادة الشبابية,1,LEG-ORG-B1-015,جمعية مكث النسائية للريادة الشبابية,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B1-016,جمعية وفاء للخدمات القانونية للمرأة,1,LEG-ORG-B1-016,جمعية وفاء للخدمات القانونية للمرأة,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B1-017,مؤسسة عبدالمنعم الراشد الإنسانية,1,LEG-ORG-B1-017,مؤسسة عبدالمنعم الراشد الإنسانية,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
LEG-ORG-B1-018,جمعية واعد الشبابية,1,LEG-ORG-B1-018,جمعية واعد الشبابية,true,false,1,0,LEGACY_ONLY,no_lovable_crosswalk_peer,,false,
